Entidade;Classe
Pennsylvaniano Superior;Unidade_Cronoestratigrafica
Gzheliano;Unidade_Cronoestratigrafica
Kasimoviano;Unidade_Cronoestratigrafica
Pennsylvaniano Médio;Unidade_Cronoestratigrafica
Moscoviano;Unidade_Cronoestratigrafica
Pennsylvaniano Inferior;Unidade_Cronoestratigrafica
Bashkiriano;Unidade_Cronoestratigrafica
Mississippiano;Unidade_Cronoestratigrafica
Mississippiano Superior;Unidade_Cronoestratigrafica
Serpukhoviano;Unidade_Cronoestratigrafica
Mississippiano Médio;Unidade_Cronoestratigrafica
Viseano;Unidade_Cronoestratigrafica
Mississippiano Inferior;Unidade_Cronoestratigrafica
Tournaisiano;Unidade_Cronoestratigrafica
Devoniano;Unidade_Cronoestratigrafica
Devoniano Superior;Unidade_Cronoestratigrafica
Famenniano;Unidade_Cronoestratigrafica
Famenniano Superior;Unidade_Cronoestratigrafica
Famenniano Inferior;Unidade_Cronoestratigrafica
Frasniano;Unidade_Cronoestratigrafica
Frasniano Superior;Unidade_Cronoestratigrafica
Frasniano Médio;Unidade_Cronoestratigrafica
Frasniano Inferior;Unidade_Cronoestratigrafica
Devoniano Médio;Unidade_Cronoestratigrafica
Givetiano;Unidade_Cronoestratigrafica
Givetiano Superior;Unidade_Cronoestratigrafica
Givetiano Médio;Unidade_Cronoestratigrafica
Givetiano Inferior;Unidade_Cronoestratigrafica
Eifeliano;Unidade_Cronoestratigrafica
Devoniano Inferior;Unidade_Cronoestratigrafica
Emsiano;Unidade_Cronoestratigrafica
Pragiano;Unidade_Cronoestratigrafica
Lochkoviano;Unidade_Cronoestratigrafica
Siluriano;Unidade_Cronoestratigrafica
Pridoli;Unidade_Cronoestratigrafica
Ludlow;Unidade_Cronoestratigrafica
Ludfordiano;Unidade_Cronoestratigrafica
Gorstiano;Unidade_Cronoestratigrafica
Wenlock;Unidade_Cronoestratigrafica
Homeriano;Unidade_Cronoestratigrafica
Sheinwoodiano;Unidade_Cronoestratigrafica
Llandovery;Unidade_Cronoestratigrafica
Telychiano;Unidade_Cronoestratigrafica
Aeroniano;Unidade_Cronoestratigrafica
Rhuddaniano;Unidade_Cronoestratigrafica
Ordoviciano;Unidade_Cronoestratigrafica
Ordoviciano Superior;Unidade_Cronoestratigrafica
Hirnantiano;Unidade_Cronoestratigrafica
Katiano;Unidade_Cronoestratigrafica
Sandbiano;Unidade_Cronoestratigrafica
Ordoviciano Médio;Unidade_Cronoestratigrafica
Darriwiliano;Unidade_Cronoestratigrafica
Dapingiano;Unidade_Cronoestratigrafica
Ordoviciano Inferior;Unidade_Cronoestratigrafica
Floiano;Unidade_Cronoestratigrafica
Tremadociano;Unidade_Cronoestratigrafica
Cambriano;Unidade_Cronoestratigrafica
Furongiano;Unidade_Cronoestratigrafica
Andar 10;Unidade_Cronoestratigrafica
Jiangshaniano;Unidade_Cronoestratigrafica
Paibiano;Unidade_Cronoestratigrafica
Série 3;Unidade_Cronoestratigrafica
Guzhangiano;Unidade_Cronoestratigrafica
Drumiano;Unidade_Cronoestratigrafica
Andar 5;Unidade_Cronoestratigrafica
Série 2;Unidade_Cronoestratigrafica
Andar 4;Unidade_Cronoestratigrafica
Andar 3;Unidade_Cronoestratigrafica
Terreneuviano;Unidade_Cronoestratigrafica
Andar 2;Unidade_Cronoestratigrafica
Fortuniano;Unidade_Cronoestratigrafica
Proterozoico;Unidade_Cronoestratigrafica
Neoproterozoico;Unidade_Cronoestratigrafica
Ediacarano;Unidade_Cronoestratigrafica
Cryogeniano;Unidade_Cronoestratigrafica
Toniano;Unidade_Cronoestratigrafica
Mesoproterozoico;Unidade_Cronoestratigrafica
Steniano;Unidade_Cronoestratigrafica
Ectasiano;Unidade_Cronoestratigrafica
Calymmiano;Unidade_Cronoestratigrafica
Paleoproterozoico;Unidade_Cronoestratigrafica
Statheriano;Unidade_Cronoestratigrafica
Orosiriano;Unidade_Cronoestratigrafica
Rhyaciano;Unidade_Cronoestratigrafica
Sideriano;Unidade_Cronoestratigrafica
Arqueano;Unidade_Cronoestratigrafica
Neoarqueano;Unidade_Cronoestratigrafica
Mesoarqueano;Unidade_Cronoestratigrafica
Paleoarqueano;Unidade_Cronoestratigrafica
Eoarqueano;Unidade_Cronoestratigrafica
Hadeano;Unidade_Cronoestratigrafica
Fanerozoico;Unidade_Cronoestratigrafica
Cenozoico;Unidade_Cronoestratigrafica
Quaternário;Unidade_Cronoestratigrafica
Holoceno;Unidade_Cronoestratigrafica
Pleistoceno;Unidade_Cronoestratigrafica
Neopleistoceno;Unidade_Cronoestratigrafica
Tarantiano;Unidade_Cronoestratigrafica
Mesopleistoceno;Unidade_Cronoestratigrafica
Ioniano;Unidade_Cronoestratigrafica
Eopleistoceno;Unidade_Cronoestratigrafica
Calabriano;Unidade_Cronoestratigrafica
Gelasiano;Unidade_Cronoestratigrafica
Neogeno;Unidade_Cronoestratigrafica
Plioceno;Unidade_Cronoestratigrafica
Neoplioceno;Unidade_Cronoestratigrafica
Piacenziano;Unidade_Cronoestratigrafica
Eoplioceno;Unidade_Cronoestratigrafica
Zancleano;Unidade_Cronoestratigrafica
Mioceno;Unidade_Cronoestratigrafica
Neomioceno;Unidade_Cronoestratigrafica
Messiniano;Unidade_Cronoestratigrafica
Tortoniano;Unidade_Cronoestratigrafica
Mesomioceno;Unidade_Cronoestratigrafica
Serravalliano;Unidade_Cronoestratigrafica
Langhiano;Unidade_Cronoestratigrafica
Eomioceno;Unidade_Cronoestratigrafica
Burdigaliano;Unidade_Cronoestratigrafica
Aquitaniano;Unidade_Cronoestratigrafica
Paleogeno;Unidade_Cronoestratigrafica
Oligoceno;Unidade_Cronoestratigrafica
Neo-oligoceno;Unidade_Cronoestratigrafica
Chattiano;Unidade_Cronoestratigrafica
Eo-oligoceno;Unidade_Cronoestratigrafica
Rupeliano;Unidade_Cronoestratigrafica
Eoceno;Unidade_Cronoestratigrafica
Neoeoceno;Unidade_Cronoestratigrafica
Priaboniano;Unidade_Cronoestratigrafica
Mesoeoceno;Unidade_Cronoestratigrafica
Bartoniano;Unidade_Cronoestratigrafica
Lutetiano;Unidade_Cronoestratigrafica
Eoeoceno;Unidade_Cronoestratigrafica
Ypresiano;Unidade_Cronoestratigrafica
Paleoceno;Unidade_Cronoestratigrafica
Neopaleoceno;Unidade_Cronoestratigrafica
Thanetiano;Unidade_Cronoestratigrafica
Mesopaleoceno;Unidade_Cronoestratigrafica
Selandiano;Unidade_Cronoestratigrafica
Eopaleoceno;Unidade_Cronoestratigrafica
Daniano;Unidade_Cronoestratigrafica
Mesozoico;Unidade_Cronoestratigrafica
Cretáceo;Unidade_Cronoestratigrafica
Neocretáceo;Unidade_Cronoestratigrafica
Maastrichtiano;Unidade_Cronoestratigrafica
Neomaastrichtiano;Unidade_Cronoestratigrafica
Eomaastrichtiano;Unidade_Cronoestratigrafica
Campaniano;Unidade_Cronoestratigrafica
Neocampaniano;Unidade_Cronoestratigrafica
Mesocampaniano;Unidade_Cronoestratigrafica
Eocampaniano;Unidade_Cronoestratigrafica
Santoniano;Unidade_Cronoestratigrafica
Neossantoniano;Unidade_Cronoestratigrafica
Mesossantoniano;Unidade_Cronoestratigrafica
Eossantoniano;Unidade_Cronoestratigrafica
Coniaciano;Unidade_Cronoestratigrafica
Neoconiaciano;Unidade_Cronoestratigrafica
Mesoconiaciano;Unidade_Cronoestratigrafica
Eoconiaciano;Unidade_Cronoestratigrafica
Turoniano;Unidade_Cronoestratigrafica
Neoturoniano;Unidade_Cronoestratigrafica
Mesoturoniano;Unidade_Cronoestratigrafica
Eoturoniano;Unidade_Cronoestratigrafica
Cenomaniano;Unidade_Cronoestratigrafica
Neocenomaniano;Unidade_Cronoestratigrafica
Mesocenomaniano;Unidade_Cronoestratigrafica
Eocenomaniano;Unidade_Cronoestratigrafica
Eocretáceo;Unidade_Cronoestratigrafica
Albiano;Unidade_Cronoestratigrafica
Neoalbiano;Unidade_Cronoestratigrafica
Mesoalbiano;Unidade_Cronoestratigrafica
Eoalbiano;Unidade_Cronoestratigrafica
Aptiano;Unidade_Cronoestratigrafica
Neoaptiano;Unidade_Cronoestratigrafica
Eoaptiano;Unidade_Cronoestratigrafica
Barremiano;Unidade_Cronoestratigrafica
Neobarremiano;Unidade_Cronoestratigrafica
Eobarremiano;Unidade_Cronoestratigrafica
Hauteriviano;Unidade_Cronoestratigrafica
Neo-hauteriviano;Unidade_Cronoestratigrafica
Eo-hauteriviano;Unidade_Cronoestratigrafica
Valanginiano;Unidade_Cronoestratigrafica
Neovalanginiano;Unidade_Cronoestratigrafica
Eovalanginiano;Unidade_Cronoestratigrafica
Berriasiano;Unidade_Cronoestratigrafica
Neoberriasiano;Unidade_Cronoestratigrafica
Mesoberriasiano;Unidade_Cronoestratigrafica
Eoberriasiano;Unidade_Cronoestratigrafica
Jurássico;Unidade_Cronoestratigrafica
Neojurássico;Unidade_Cronoestratigrafica
Tithoniano;Unidade_Cronoestratigrafica
Neotithoniano;Unidade_Cronoestratigrafica
Eotithoniano;Unidade_Cronoestratigrafica
Kimmeridgiano;Unidade_Cronoestratigrafica
Neokimmeridgiano;Unidade_Cronoestratigrafica
Eokimmeridgiano;Unidade_Cronoestratigrafica
Oxfordiano;Unidade_Cronoestratigrafica
Neo-oxfordiano;Unidade_Cronoestratigrafica
Meso-oxfordiano;Unidade_Cronoestratigrafica
Eo-oxfordiano;Unidade_Cronoestratigrafica
Mesojurássico;Unidade_Cronoestratigrafica
Calloviano;Unidade_Cronoestratigrafica
Neocalloviano;Unidade_Cronoestratigrafica
Mesocalloviano;Unidade_Cronoestratigrafica
Eocalloviano;Unidade_Cronoestratigrafica
Bathoniano;Unidade_Cronoestratigrafica
Neobathoniano;Unidade_Cronoestratigrafica
Mesobathoniano;Unidade_Cronoestratigrafica
Eobathoniano;Unidade_Cronoestratigrafica
Bajociano;Unidade_Cronoestratigrafica
Neobajociano;Unidade_Cronoestratigrafica
Eobajociano;Unidade_Cronoestratigrafica
Aaleniano;Unidade_Cronoestratigrafica
Neoaaleniano;Unidade_Cronoestratigrafica
Mesoaaleniano;Unidade_Cronoestratigrafica
Eoaaleniano;Unidade_Cronoestratigrafica
Eojurássico;Unidade_Cronoestratigrafica
Toarciano;Unidade_Cronoestratigrafica
Neotoarciano;Unidade_Cronoestratigrafica
Eotoarciano;Unidade_Cronoestratigrafica
Pliensbachiano;Unidade_Cronoestratigrafica
Neopliensbachiano;Unidade_Cronoestratigrafica
Eopliensbachiano;Unidade_Cronoestratigrafica
Sinemuriano;Unidade_Cronoestratigrafica
Neossinemuriano;Unidade_Cronoestratigrafica
Eossinemuriano;Unidade_Cronoestratigrafica
Hettangiano;Unidade_Cronoestratigrafica
Triássico;Unidade_Cronoestratigrafica
Neotriássico;Unidade_Cronoestratigrafica
Rhaetiano;Unidade_Cronoestratigrafica
Noriano;Unidade_Cronoestratigrafica
Sevatiano;Unidade_Cronoestratigrafica
Alauniano;Unidade_Cronoestratigrafica
Laciano;Unidade_Cronoestratigrafica
Carniano;Unidade_Cronoestratigrafica
Tuvaliano;Unidade_Cronoestratigrafica
Juliano;Unidade_Cronoestratigrafica
Cordevoliano;Unidade_Cronoestratigrafica
Mesotriássico;Unidade_Cronoestratigrafica
Ladiniano;Unidade_Cronoestratigrafica
Longobardiano;Unidade_Cronoestratigrafica
Fassaniano;Unidade_Cronoestratigrafica
Anisiano;Unidade_Cronoestratigrafica
Illyriano;Unidade_Cronoestratigrafica
Pelsoniano;Unidade_Cronoestratigrafica
Bityniano;Unidade_Cronoestratigrafica
Aegeano;Unidade_Cronoestratigrafica
Eotriássico;Unidade_Cronoestratigrafica
Olenekiano;Unidade_Cronoestratigrafica
Spathiano;Unidade_Cronoestratigrafica
Smithiano;Unidade_Cronoestratigrafica
Induano;Unidade_Cronoestratigrafica
Dieneriano;Unidade_Cronoestratigrafica
Griesbachiano;Unidade_Cronoestratigrafica
Paleozoico;Unidade_Cronoestratigrafica
Permiano;Unidade_Cronoestratigrafica
Lopingiano;Unidade_Cronoestratigrafica
Changhsingiano;Unidade_Cronoestratigrafica
Wuchiapingiano;Unidade_Cronoestratigrafica
Guadalupiano;Unidade_Cronoestratigrafica
Capitaniano;Unidade_Cronoestratigrafica
Wordiano;Unidade_Cronoestratigrafica
Roadiano;Unidade_Cronoestratigrafica
Cisuraliano;Unidade_Cronoestratigrafica
Kunguriano;Unidade_Cronoestratigrafica
Artinskiano;Unidade_Cronoestratigrafica
Sakmariano;Unidade_Cronoestratigrafica
Asseliano;Unidade_Cronoestratigrafica
Carbonífero;Unidade_Cronoestratigrafica
Pennsylvaniano;Unidade_Cronoestratigrafica
Neopennsylvaniano;Unidade_Cronoestratigrafica
Gzheliano;Unidade_Cronoestratigrafica
Kasimoviano;Unidade_Cronoestratigrafica
Mesopennsylvaniano;Unidade_Cronoestratigrafica
Moscoviano;Unidade_Cronoestratigrafica
Eopennsylvaniano;Unidade_Cronoestratigrafica
Bashkiriano;Unidade_Cronoestratigrafica
Mississippiano;Unidade_Cronoestratigrafica
Neomississippiano;Unidade_Cronoestratigrafica
Serpukhoviano;Unidade_Cronoestratigrafica
Mesomississippiano;Unidade_Cronoestratigrafica
Viseano;Unidade_Cronoestratigrafica
Eomississippiano;Unidade_Cronoestratigrafica
Tournaisiano;Unidade_Cronoestratigrafica
Devoniano;Unidade_Cronoestratigrafica
Neodevoniano;Unidade_Cronoestratigrafica
Famenniano;Unidade_Cronoestratigrafica
Neofamenniano;Unidade_Cronoestratigrafica
Eofamenniano;Unidade_Cronoestratigrafica
Frasniano;Unidade_Cronoestratigrafica
Neofrasniano;Unidade_Cronoestratigrafica
Mesofrasniano;Unidade_Cronoestratigrafica
Eofrasniano;Unidade_Cronoestratigrafica
Mesodevoniano;Unidade_Cronoestratigrafica
Givetiano;Unidade_Cronoestratigrafica
Neogivetiano;Unidade_Cronoestratigrafica
Mesogivetiano;Unidade_Cronoestratigrafica
Eogivetiano;Unidade_Cronoestratigrafica
Eifeliano;Unidade_Cronoestratigrafica
Eodevoniano;Unidade_Cronoestratigrafica
Emsiano;Unidade_Cronoestratigrafica
Pragiano;Unidade_Cronoestratigrafica
Lochkoviano;Unidade_Cronoestratigrafica
Siluriano;Unidade_Cronoestratigrafica
Pridoli;Unidade_Cronoestratigrafica
Ludlow;Unidade_Cronoestratigrafica
Ludfordiano;Unidade_Cronoestratigrafica
Gorstiano;Unidade_Cronoestratigrafica
Wenlock;Unidade_Cronoestratigrafica
Homeriano;Unidade_Cronoestratigrafica
Sheinwoodiano;Unidade_Cronoestratigrafica
Llandovery;Unidade_Cronoestratigrafica
Telychiano;Unidade_Cronoestratigrafica
Aeroniano;Unidade_Cronoestratigrafica
Rhuddaniano;Unidade_Cronoestratigrafica
Ordoviciano;Unidade_Cronoestratigrafica
Neo-ordoviciano;Unidade_Cronoestratigrafica
Hirnantiano;Unidade_Cronoestratigrafica
Katiano;Unidade_Cronoestratigrafica
Sandbiano;Unidade_Cronoestratigrafica
Meso-ordoviciano;Unidade_Cronoestratigrafica
Darriwiliano;Unidade_Cronoestratigrafica
Dapingiano;Unidade_Cronoestratigrafica
Eo-ordoviciano;Unidade_Cronoestratigrafica
Floiano;Unidade_Cronoestratigrafica
Tremadociano;Unidade_Cronoestratigrafica
Cambriano;Unidade_Cronoestratigrafica
Furongiano;Unidade_Cronoestratigrafica
Idade 10;Unidade_Cronoestratigrafica
Jiangshaniano;Unidade_Cronoestratigrafica
Paibiano;Unidade_Cronoestratigrafica
Época 3;Unidade_Cronoestratigrafica
Guzhangiano;Unidade_Cronoestratigrafica
Drumiano;Unidade_Cronoestratigrafica
Idade 5;Unidade_Cronoestratigrafica
Época 2;Unidade_Cronoestratigrafica
Idade 4;Unidade_Cronoestratigrafica
Idade 3;Unidade_Cronoestratigrafica
Terreneuviano;Unidade_Cronoestratigrafica
Idade 2;Unidade_Cronoestratigrafica
Fortuniano;Unidade_Cronoestratigrafica
Proterozoico;Unidade_Cronoestratigrafica
Neoproterozoico;Unidade_Cronoestratigrafica
Ediacarano;Unidade_Cronoestratigrafica
Cryogeniano;Unidade_Cronoestratigrafica
Toniano;Unidade_Cronoestratigrafica
Mesoproterozoico;Unidade_Cronoestratigrafica
Steniano;Unidade_Cronoestratigrafica
Ectasiano;Unidade_Cronoestratigrafica
Calymmiano;Unidade_Cronoestratigrafica
Paleoproterozoico;Unidade_Cronoestratigrafica
Statheriano;Unidade_Cronoestratigrafica
Orosiriano;Unidade_Cronoestratigrafica
Rhyaciano;Unidade_Cronoestratigrafica
Sideriano;Unidade_Cronoestratigrafica
Arqueano;Unidade_Cronoestratigrafica
Neoarqueano;Unidade_Cronoestratigrafica
Mesoarqueano;Unidade_Cronoestratigrafica
Paleoarqueano;Unidade_Cronoestratigrafica
Eoarqueano;Unidade_Cronoestratigrafica
Hadeano;Unidade_Cronoestratigrafica
Phanerozoic;Unidade_Cronoestratigrafica
Cenozoic;Unidade_Cronoestratigrafica
Quaternary;Unidade_Cronoestratigrafica
Holocene;Unidade_Cronoestratigrafica
Pleistocene;Unidade_Cronoestratigrafica
Upper Pleistocene;Unidade_Cronoestratigrafica
Tarantian;Unidade_Cronoestratigrafica
Middle Pleistocene;Unidade_Cronoestratigrafica
Ionian;Unidade_Cronoestratigrafica
Lower Pleistocene;Unidade_Cronoestratigrafica
Calabrian;Unidade_Cronoestratigrafica
Gelasian;Unidade_Cronoestratigrafica
Neogene;Unidade_Cronoestratigrafica
Pliocene;Unidade_Cronoestratigrafica
Upper Pliocene;Unidade_Cronoestratigrafica
Piacenzian;Unidade_Cronoestratigrafica
Lower Pliocene;Unidade_Cronoestratigrafica
Zanclean;Unidade_Cronoestratigrafica
Miocene;Unidade_Cronoestratigrafica
Upper Miocene;Unidade_Cronoestratigrafica
Messinian;Unidade_Cronoestratigrafica
Tortonian;Unidade_Cronoestratigrafica
Middle Miocene;Unidade_Cronoestratigrafica
Serravallian;Unidade_Cronoestratigrafica
Langhian;Unidade_Cronoestratigrafica
Lower Miocene;Unidade_Cronoestratigrafica
Burdigalian;Unidade_Cronoestratigrafica
Aquitanian;Unidade_Cronoestratigrafica
Paleogene;Unidade_Cronoestratigrafica
Oligocene;Unidade_Cronoestratigrafica
Upper Oligocene;Unidade_Cronoestratigrafica
Chattian;Unidade_Cronoestratigrafica
Lower Oligocene;Unidade_Cronoestratigrafica
Rupelian;Unidade_Cronoestratigrafica
Eocene;Unidade_Cronoestratigrafica
Upper Eocene;Unidade_Cronoestratigrafica
Priabonian;Unidade_Cronoestratigrafica
Middle Eocene;Unidade_Cronoestratigrafica
Bartonian;Unidade_Cronoestratigrafica
Lutetian;Unidade_Cronoestratigrafica
Lower Eocene;Unidade_Cronoestratigrafica
Ypresian;Unidade_Cronoestratigrafica
Paleocene;Unidade_Cronoestratigrafica
Upper Paleocene;Unidade_Cronoestratigrafica
Thanetian;Unidade_Cronoestratigrafica
Middle Paleocene;Unidade_Cronoestratigrafica
Selandian;Unidade_Cronoestratigrafica
Lower Paleocene;Unidade_Cronoestratigrafica
Danian;Unidade_Cronoestratigrafica
Mesozoic;Unidade_Cronoestratigrafica
Cretaceous;Unidade_Cronoestratigrafica
Upper Cretaceous;Unidade_Cronoestratigrafica
Maastrichtian;Unidade_Cronoestratigrafica
Upper Maastrichtian;Unidade_Cronoestratigrafica
Lower Maastrichtian;Unidade_Cronoestratigrafica
Campanian;Unidade_Cronoestratigrafica
Upper Campanian;Unidade_Cronoestratigrafica
Middle Campanian;Unidade_Cronoestratigrafica
Lower Campanian;Unidade_Cronoestratigrafica
Santonian;Unidade_Cronoestratigrafica
Upper Santonian;Unidade_Cronoestratigrafica
Middle Santonian;Unidade_Cronoestratigrafica
Lower Santonian;Unidade_Cronoestratigrafica
Coniacian;Unidade_Cronoestratigrafica
Upper Coniacian;Unidade_Cronoestratigrafica
Middle Coniacian;Unidade_Cronoestratigrafica
Lower Coniacian;Unidade_Cronoestratigrafica
Turonian;Unidade_Cronoestratigrafica
Upper Turonian;Unidade_Cronoestratigrafica
Middle Turonian;Unidade_Cronoestratigrafica
Lower Turonian;Unidade_Cronoestratigrafica
Cenomanian ;Unidade_Cronoestratigrafica
Upper Cenomanian ;Unidade_Cronoestratigrafica
Middle Cenomanian ;Unidade_Cronoestratigrafica
Lower Cenomanian ;Unidade_Cronoestratigrafica
Lower Cretaceous;Unidade_Cronoestratigrafica
Albian;Unidade_Cronoestratigrafica
Upper Albian;Unidade_Cronoestratigrafica
Middle Albian;Unidade_Cronoestratigrafica
Lower Albian;Unidade_Cronoestratigrafica
Aptian;Unidade_Cronoestratigrafica
Upper Aptian;Unidade_Cronoestratigrafica
Lower Aptian;Unidade_Cronoestratigrafica
Barremian;Unidade_Cronoestratigrafica
Upper Barremian;Unidade_Cronoestratigrafica
Lower Barremian;Unidade_Cronoestratigrafica
Hauterivian;Unidade_Cronoestratigrafica
Upper Hauterivian;Unidade_Cronoestratigrafica
